node_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,98.763811,84.785507,176.450863,234.169879,294.260223,367.178201,443.177529,531.037301,614.276052,653.423640,0.000000,49.314975,157.108300,221.315019,285.593708,393.356243,426.182475,519.333734,574.942350,672.705976,62.097545,118.076942,191.045438,232.304036,319.692317,405.243964,469.344955,543.427777,614.942719,684.286228,139.434314,185.859812,234.133874,270.179831,361.882666,400.518666,499.668340,578.586145,644.868928,718.963547,238.009938,241.795645,288.271913,311.533983,370.943688,440.947200,512.158854,582.413638,681.991175,719.571013,291.264982,343.062703,332.267048,373.814573,432.161292,493.540932,546.117213,632.582147,675.871370,774.898699,388.786101,375.474156,419.366133,442.649726,503.358956,576.079042,597.896806,690.429931,718.619220,807.436433,436.211401,467.121798,484.410098,512.948035,580.377328,627.947770,644.679180,722.683383,789.171279,836.408169,542.133554,551.687542,536.394738,593.365421,619.765883,663.622254,725.319187,781.073716,841.343500,897.733276,587.085579,606.847609,627.190258,654.951724,716.797555,740.933246,787.151362,830.505201,888.909644,946.782744
11,95.749076,53.812533,128.735010,184.936185,245.015556,318.678626,394.588720,482.730863,566.819372,606.237993,49.314975,0.000000,115.199643,174.473657,239.764001,347.346852,381.774418,473.308497,528.931645,626.930597,100.159886,103.955882,160.702048,193.935542,279.605858,363.962710,428.499608,501.307927,572.589831,640.717834,161.843335,187.561054,214.942574,247.789920,329.890694,367.257164,463.191477,539.335909,605.438808,677.261919,254.966897,246.989912,280.448854,294.740016,344.278464,411.326738,481.709904,548.640625,646.052961,680.694915,307.482256,346.764255,325.385322,362.192801,410.050662,467.212582,517.284596,599.504984,642.844423,738.538003,405.887935,384.651552,415.864841,435.434321,489.473187,555.752402,574.204493,661.914593,688.422336,775.175186,449.679811,474.029319,483.868709,506.296486,568.500400,611.773955,623.085663,699.813853,761.467266,808.511628,558.892263,562.209544,539.407885,591.408016,610.758739,649.539956,708.497572,759.507358,818.593023,870.978873,603.571961,616.291124,629.801323,653.627901,708.914331,730.009770,770.915278,811.772315,868.665201,923.410793
12,197.739871,140.871965,113.212906,110.365735,163.524710,221.720644,297.010633,382.095319,461.424927,499.725222,157.108300,115.199643,0.000000,72.841890,131.012563,238.151271,269.292203,363.736650,419.223001,516.592171,179.606076,90.221334,67.113117,80.037195,164.420303,248.929794,313.386178,386.678269,458.108903,527.180006,194.250305,167.345116,137.949194,159.139062,220.607626,256.058585,348.984941,424.160187,490.244804,562.475484,256.310668,222.086091,220.719382,213.860297,242.313396,303.859694,372.591282,436.037020,531.871948,565.539600,300.768286,307.076828,263.531870,287.720932,313.817172,363.438734,409.773482,487.319437,530.595136,624.083652,393.818927,354.961785,355.820701,366.684483,405.880128,459.820405,472.984359,553.964008,578.600833,663.290528,426.553766,434.498155,427.406576,436.331967,486.965863,521.936485,524.474425,598.785286,654.054593,700.742955,539.609929,527.967127,488.877173,528.926267,533.860019,562.817644,616.546947,659.954044,717.102712,764.314101,582.383945,578.136690,576.149162,591.214797,632.693049,647.943225,679.400587,716.075892,770.442583,820.707343
13,239.276188,182.657894,107.307454,53.830663,93.932008,149.291154,224.973328,311.191338,393.010373,432.109759,221.315019,174.473657,72.841890,0.000000,66.247951,173.067727,209.506257,298.927838,354.538804,452.612720,250.884731,161.807379,110.073080,74.932578,125.521799,200.053873,264.224127,332.793550,403.079303,468.776095,266.059946,230.351210,175.800984,182.424054,204.421302,232.523596,311.438526,377.558349,442.397101,508.552069,320.783810,279.662793,260.886459,238.245668,238.764026,286.900077,349.821720,403.038037,491.955342,518.360538,361.374863,353.643922,299.176629,312.295243,314.357020,350.993841,389.389163,454.830318,497.413981,582.193906,450.071076,404.708116,388.180773,392.251419,417.129940,455.966387,461.709490,530.297618,550.862587,629.956771,477.461031,477.056676,459.902328,458.733570,498.088311,523.929919,515.886013,585.798045,630.342476,675.994809,590.286010,571.513697,523.757680,554.929106,548.257198,567.392150,614.715744,648.296182,702.234988,741.074055,631.625760,618.791032,607.448716,616.213117,646.115132,655.871504,677.301051,708.762850,759.519703,803.332458
14,304.965074,248.666749,165.604828,91.542131,85.992259,99.371802,170.454785,252.459060,330.413613,368.777700,285.593708,239.764001,131.012563,66.247951,0.000000,107.762535,143.269964,233.747790,289.364418,387.236489,310.375692,212.445582,141.864137,86.356711,77.372534,137.541746,200.530229,267.172690,337.124364,402.528144,314.610234,265.691517,190.920243,183.672007,167.157222,186.859060,253.114264,314.058881,378.176109,442.673293,355.019220,306.451405,270.445882,234.533783,209.772223,243.853822,300.465710,346.137049,430.744104,454.158497,389.418434,365.595692,302.216363,304.154674,284.619458,309.329898,340.922736,397.717225,439.589025,519.789362,470.843460,418.736285,384.611558,382.056880,393.267890,418.689973,418.640471,477.865569,495.781521,571.368864,491.374372,481.744247,454.672744,443.917291,472.439775,490.245742,474.066216,540.044173,577.193420,621.985046,602.400204,575.811439,519.721112,541.784279,524.667226,535.233193,576.944876,602.979810,654.362935,687.681552,641.631531,619.426901,598.700782,601.329844,620.504881,625.523732,638.784244,666.137776,714.033700,753.330540
15,408.419734,353.334162,261.563872,182.321469,141.077384,71.551060,91.097560,154.170008,224.450403,261.910762,393.356243,347.346852,238.151271,173.067727,107.762535,0.000000,46.100783,125.997168,181.620541,279.586335,416.671754,315.103418,237.350350,179.713441,109.859708,80.485252,121.051471,171.092805,237.141922,298.113515,413.978549,355.781299,268.153515,247.602972,177.360066,173.056045,190.841246,227.862705,287.147512,342.408204,441.142487,386.876162,334.317412,285.527485,225.995921,225.659648,260.295966,281.801595,349.907542,362.076585,468.231759,426.695865,355.703403,342.161065,288.943624,286.816190,299.888436,330.540857,369.015970,433.519250,539.159300,480.299905,423.988085,411.697590,399.745108,398.255377,385.857274,420.753638,431.360776,496.012498,550.579874,528.861705,488.438392,463.163958,471.913038,473.943401,441.700543,496.999469,515.989535,557.899122,656.729370,619.840627,553.033923,560.193903,525.918505,520.362391,549.852249,559.425681,604.189081,624.202750,692.358169,657.183215,622.610665,615.271204,615.480379,611.681125,608.766435,627.133590,668.170668,696.983811
16,447.819159,391.822546,303.722956,224.930868,186.710953,116.464579,114.801757,151.716852,205.054741,238.974503,426.182475,381.774418,269.292203,209.506257,143.269964,46.100783,0.000000,99.466144,152.926504,248.386670,444.682812,339.633612,258.387963,202.449245,120.215685,54.301630,76.253652,126.525994,194.653998,259.316312,434.363588,370.347927,278.050592,252.127704,164.429206,150.168803,148.414671,181.817967,241.749245,300.269868,451.890605,395.150256,335.324265,282.326078,211.205586,196.931524,222.484292,237.523143,303.806767,317.021180,474.322809,424.230514,351.228847,331.207759,266.051493,254.082001,260.967428,285.515984,323.458524,387.702058,538.733339,477.203509,411.678139,395.522873,374.721585,363.979102,348.037761,376.941336,386.372856,449.982338,545.469332,518.371564,472.700970,441.939607,443.275590,440.072393,403.429204,455.685384,471.240303,512.710043,648.332238,607.058592,536.320906,537.484410,497.308616,486.514825,512.238699,517.726480,561.025797,579.000446,682.030555,641.395967,601.469158,590.409574,584.051104,577.512238,570.075504,586.198739,625.672048,652.624398
17,532.009615,477.819699,382.443266,303.479084,253.797408,171.283967,117.886413,83.116549,106.541659,139.510397,519.333734,473.308497,363.736650,298.927838,233.747790,125.997168,99.466144,0.000000,55.625527,153.717835,541.391501,437.775857,357.328413,300.788519,219.675568,144.831059,117.064048,94.913190,134.280672,179.906390,533.618774,469.704592,376.841171,349.471582,253.346860,229.613327,180.709322,161.101974,200.525201,232.270043,550.455434,493.095204,430.289957,375.277878,296.181810,263.129988,263.760134,245.705344,277.151113,267.613147,571.162273,516.196397,442.350279,416.794454,338.233091,307.508368,295.219472,282.988306,312.040838,346.124607,631.521442,568.303743,494.502332,473.834183,439.601801,408.061257,381.533412,380.209990,379.235217,423.694020,634.422601,602.081502,550.433993,511.974732,499.176112,482.992072,433.230475,471.024361,463.894745,499.900792,733.447737,687.326855,611.949047,603.510666,552.187291,528.415992,541.600781,529.645013,563.778951,564.831964,764.800381,717.387237,669.479692,651.743618,630.768098,616.818609,594.326851,600.595380,631.361152,645.416135
18,586.986201,533.071142,436.848113,358.135756,307.023253,224.068576,162.993544,98.312890,65.485075,89.040046,574.942350,528.931645,419.223001,354.538804,289.364418,181.620541,152.926504,55.625527,0.000000,98.202933,596.554664,492.364261,411.313821,355.222999,272.484216,193.350570,152.540565,100.277172,105.590189,132.023628,587.134355,521.570381,427.634390,398.599863,297.560183,269.587844,202.216943,156.234809,177.378443,189.605294,600.556227,542.432461,476.822284,420.535558,337.280311,295.229079,283.150957,248.554525,257.837243,234.989884,619.038462,559.847285,485.763621,456.586661,371.239358,331.294645,309.336087,277.450148,299.985164,315.435447,675.418287,611.041734,531.774058,508.393454,466.538214,423.839915,392.123450,374.013461,367.206438,399.773077,675.231899,639.236296,583.939003,541.025754,520.013765,496.639036,440.467822,469.376415,449.717434,482.049373,771.028549,721.677564,643.647381,629.239307,571.751829,540.780938,546.646388,525.062529,553.594622,545.307708,800.577432,748.714192,695.944150,674.213052,644.715719,626.606968,595.784574,596.432892,621.992929,628.798965
19,685.002795,631.234503,534.500387,456.005917,403.909074,320.904380,255.346257,175.765546,88.307061,58.638134,672.705976,626.930597,516.592171,452.612720,387.236489,279.586335,248.386670,153.717835,98.202933,0.000000,693.044032,587.784205,505.832595,450.641123,365.907599,282.998528,231.554779,159.829330,112.155123,70.876603,680.446954,612.240911,517.050314,485.738446,379.372169,346.721054,260.326371,185.392268,168.895925,131.469439,688.024845,628.918953,559.369191,501.749018,413.972311,360.941409,331.630770,274.861551,243.968078,195.754097,702.776890,637.200612,563.455622,529.158338,435.558934,383.578410,348.265292,286.894274,295.782471,273.129534,752.354134,686.533142,599.417551,572.139467,519.207077,460.073005,421.192309,375.448676,358.468816,366.737664,747.130038,705.503560,644.949842,595.559845,561.759062,527.186516,462.098410,474.773220,433.256057,457.624620,836.956467,782.632412,701.024125,677.049400,610.370009,568.101096,561.420938,523.588916,541.324951,516.007817,863.308410,804.436572,744.130560,716.032211,672.684234,647.824480,603.240254,593.985382,609.706503,603.162470
