source_id,target_id,distance
6,41,470.367397
6,42,422.473627
6,43,375.458844
6,44,316.826116
6,45,311.032111
6,46,336.040528
6,47,341.155274
6,48,389.462690
6,49,385.050648
6,50,552.721624
6,51,515.869276
6,52,445.726080
6,53,433.229756
6,54,377.774872
6,55,368.883037
6,56,373.549912
6,57,385.057798
6,58,418.809651
6,59,462.808608
6,60,627.166203
6,61,569.564871
6,62,515.080997
6,63,502.572777
6,64,487.761306
6,65,478.544754
6,66,461.084062
6,67,480.301433
6,68,484.706650
6,69,537.057895
6,70,640.393111
6,71,619.809876
6,72,579.402924
6,73,552.905567
6,74,557.681571
6,75,554.669578
6,76,515.974548
6,77,564.388427
6,78,570.050891
6,79,608.691407
6,80,747.285028
6,81,710.926205
6,82,643.906274
6,83,649.450737
6,84,611.735523
6,85,601.092035
6,86,625.066095
6,87,625.493296
6,88,665.220134
6,89,674.455097
6,90,783.224995
6,91,748.186896
6,92,712.488365
6,93,703.546624
6,94,698.852726
6,95,691.967481
6,96,681.876712
6,97,695.097839
6,98,731.363743
6,99,752.245235
7,8,92.646548
7,9,133.540849
7,10,531.037301
7,11,482.730863
7,12,382.095319
7,13,311.191338
7,14,252.459060
7,15,154.170008
7,16,151.716852
7,17,83.116549
7,18,98.312890
7,19,175.765546
7,20,561.614873
7,21,464.732583
7,22,389.913790
7,23,332.165559
7,24,263.010820
7,25,205.329255
7,26,194.529948
7,27,176.842851
7,28,202.484985
7,29,226.422563
7,30,565.792312
7,31,509.777296
7,32,422.079385
7,33,399.916899
7,34,316.033248
7,35,298.669291
7,36,262.423036
7,37,241.785572
7,38,273.322552
7,39,286.350475
7,40,595.292034
7,41,540.679337
7,42,485.175129
7,43,433.443321
7,44,362.217756
7,45,338.588659
7,46,345.316943
7,47,328.522633
7,48,352.754880
7,49,333.270213
7,50,621.569159
7,51,575.398278
7,52,502.712235
7,53,482.637129
7,54,411.953385
7,55,387.183149
7,56,377.788899
7,57,364.340245
7,58,391.317399
7,59,413.647170
